"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"287","Desire","2023","2018",0.210526315789474,1,"0.2105","ns","Wilcoxon"
"288","Desire","2013","2014",0.470588235294118,1,"0.4706","ns","Wilcoxon"
"289","Desire","2013","2015",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"290","Desire","2013","2017",0.367647058823529,1,"0.3676","ns","Wilcoxon"
"291","Desire","2013","2019",0.355072463768116,1,"0.3551","ns","Wilcoxon"
"292","Desire","2013","2020",0.121008403361345,1,"0.1210","ns","Wilcoxon"
"293","Desire","2013","2022",0.217391304347826,1,"0.2174","ns","Wilcoxon"
"294","Desire","2013","2024",0.242424242424242,1,"0.2424","ns","Wilcoxon"
"295","Desire","2013","2016",0.333333333333333,1,"0.3333","ns","Wilcoxon"
"296","Desire","2013","2011",0.8,1,"0.8000","ns","Wilcoxon"
"297","Desire","2013","2018",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"298","Desire","2014","2015",1,1,"1.0000","ns","Wilcoxon"
"299","Desire","2014","2017",0.740478437501513,1,"0.7405","ns","Wilcoxon"
"300","Desire","2014","2019",0.849446940124023,1,"0.8494","ns","Wilcoxon"
"301","Desire","2014","2020",0.133908540216153,1,"0.1339","ns","Wilcoxon"
"302","Desire","2014","2022",0.356002648965276,1,"0.3560","ns","Wilcoxon"
"303","Desire","2014","2024",0.648775103283048,1,"0.6488","ns","Wilcoxon"
"304","Desire","2014","2016",0.209150326797386,1,"0.2092","ns","Wilcoxon"
"305","Desire","2014","2011",0.819814241486068,1,"0.8198","ns","Wilcoxon"
"306","Desire","2014","2018",0.352941176470588,1,"0.3529","ns","Wilcoxon"
"307","Desire","2015","2017",0.875,1,"0.8750","ns","Wilcoxon"
"308","Desire","2015","2019",1,1,"1.0000","ns","Wilcoxon"
"309","Desire","2015","2020",0.764705882352941,1,"0.7647","ns","Wilcoxon"
"310","Desire","2015","2022",0.695652173913043,1,"0.6957","ns","Wilcoxon"
"311","Desire","2015","2024",0.75,1,"0.7500","ns","Wilcoxon"
"312","Desire","2015","2016",0.666666666666667,1,"0.6667","ns","Wilcoxon"
"313","Desire","2015","2011",1,1,"1.0000","ns","Wilcoxon"
"314","Desire","2015","2018",1,1,"1.0000","ns","Wilcoxon"
